epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,32791.7,0.66772,0.38282,0.86304,0.9982,0.99843,0.99455,0.93643,0.35023,0.58683,0.76985,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,33266.3,0.65908,0.3779,0.86138,0.99821,0.99843,0.99455,0.93664,0.34939,0.59676,0.76972,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,34007.7,0.65726,0.37757,0.86113,0.99821,0.99843,0.99455,0.9372,0.34817,0.58739,0.76946,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,34488.2,0.6543,0.37565,0.8602,0.99822,0.99844,0.99456,0.93746,0.3473,0.58796,0.76931,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,37559.2,0.64918,0.37313,0.85924,0.99821,0.99846,0.99456,0.93801,0.34621,0.58412,0.76916,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,38033.7,0.64907,0.37336,0.85937,0.99823,0.99844,0.99457,0.93806,0.34579,0.57584,0.76908,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,38505.8,0.64559,0.37065,0.85808,0.99825,0.99844,0.99457,0.93824,0.34483,0.5711,0.76891,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,38981.5,0.64611,0.37226,0.85881,0.99824,0.99845,0.99457,0.93929,0.34373,0.56293,0.76869,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,39458.2,0.64095,0.36914,0.85742,0.99824,0.99848,0.99457,0.93936,0.34333,0.56615,0.76869,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,39934.1,0.64267,0.37097,0.85773,0.99824,0.99848,0.99458,0.93978,0.34272,0.57073,0.76855,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,40410.5,0.63875,0.36813,0.85664,0.99822,0.99849,0.99458,0.94002,0.34153,0.57319,0.76837,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,40885,0.63359,0.36575,0.85524,0.9982,0.99849,0.99458,0.94046,0.3409,0.56515,0.76825,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,41363,0.63443,0.36674,0.85609,0.99821,0.9985,0.99459,0.94104,0.34002,0.56942,0.76814,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,41837.5,0.63058,0.36512,0.855,0.99821,0.99852,0.99459,0.94125,0.33914,0.56468,0.76797,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,42313.5,0.62915,0.36408,0.85444,0.99822,0.9985,0.99459,0.94173,0.33862,0.56812,0.76787,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,42786.8,0.62518,0.36239,0.8541,0.99825,0.99848,0.9946,0.94235,0.337,0.57627,0.76763,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,43262.3,0.62129,0.36008,0.85284,0.99825,0.99849,0.9946,0.94241,0.33661,0.57654,0.76758,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,43736.8,0.62245,0.36107,0.85332,0.99826,0.99849,0.9946,0.94252,0.33581,0.57945,0.76746,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,44212.2,0.62274,0.36113,0.85333,0.99827,0.99851,0.99461,0.94313,0.33475,0.56981,0.76729,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,44689.3,0.61858,0.35865,0.85257,0.99826,0.99851,0.99461,0.9432,0.33433,0.56246,0.76718,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,45166.7,0.61471,0.35645,0.85068,0.99827,0.9985,0.99461,0.94377,0.33324,0.58047,0.76701,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,45644.5,0.61333,0.35606,0.85117,0.99826,0.99851,0.99461,0.94389,0.33259,0.58189,0.76689,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,47576.6,0.60706,0.3533,0.84959,0.99829,0.99851,0.99462,0.94406,0.33151,0.58985,0.76674,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,48051.6,0.60788,0.35345,0.84969,0.9983,0.99852,0.99462,0.94468,0.33034,0.59787,0.76656,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,48529.8,0.60402,0.35203,0.84983,0.9983,0.99853,0.99462,0.9451,0.32993,0.59218,0.76651,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,49005.3,0.60228,0.35208,0.84923,0.9983,0.99853,0.99462,0.94536,0.32848,0.61462,0.76624,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,49480.2,0.60074,0.35083,0.84887,0.9983,0.99853,0.99463,0.94599,0.32756,0.60853,0.7661,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,49954.5,0.59954,0.35006,0.84853,0.9983,0.99853,0.99462,0.94612,0.32732,0.60947,0.76606,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,50430.1,0.59584,0.34815,0.84767,0.9983,0.99853,0.99462,0.94664,0.32653,0.61269,0.76596,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,50906.1,0.59518,0.34824,0.848,0.9983,0.99853,0.99463,0.94686,0.32536,0.62401,0.76573,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,51383.2,0.59093,0.34559,0.84651,0.9983,0.99852,0.99463,0.94704,0.32468,0.62368,0.7656,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,51861.5,0.58778,0.34398,0.84616,0.99827,0.99855,0.99463,0.94795,0.32362,0.62546,0.76545,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
