epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,13321.9,0.86163,0.50012,0.90782,0.99501,0.99612,0.99431,0.88919,0.48652,12.6097,0.78507,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,13677.7,0.86103,0.49885,0.90735,0.99501,0.99618,0.99432,0.88927,0.48586,12.4057,0.7849,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,14032.6,0.85805,0.49788,0.90689,0.99499,0.99624,0.99432,0.8894,0.48507,12.2419,0.78475,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,15595.4,0.85709,0.49856,0.90655,0.99503,0.99625,0.99432,0.8895,0.48454,12.0369,0.78461,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,15949.5,0.85631,0.49734,0.90666,0.99509,0.99625,0.99432,0.88956,0.48363,11.8558,0.78446,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,16308.6,0.85404,0.49508,0.9058,0.99509,0.99628,0.99433,0.88971,0.48304,11.7946,0.78433,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,16662.7,0.84991,0.49379,0.90539,0.99509,0.99632,0.99433,0.88973,0.48269,11.5209,0.78421,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,17019.1,0.85048,0.49447,0.90518,0.99511,0.9963,0.99433,0.89093,0.48182,11.5026,0.78408,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,17327.5,0.52368,0.31394,0.82438,0.99516,0.99632,0.99434,0.89144,0.48029,11.4009,0.78379,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,17613.9,0.49702,0.30096,0.81801,0.99521,0.99634,0.99434,0.89213,0.4788,11.2077,0.78342,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,17900.6,0.48287,0.29414,0.81519,0.99524,0.99637,0.99435,0.89312,0.47634,10.845,0.78302,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,18187.1,0.47339,0.28982,0.81313,0.9953,0.99641,0.99435,0.89369,0.47441,10.5198,0.78258,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,18473.3,0.46812,0.28746,0.81268,0.99539,0.99645,0.99436,0.8941,0.47222,10.1257,0.78219,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,18759.8,0.46102,0.28394,0.81067,0.99538,0.99654,0.99437,0.89554,0.46988,9.88727,0.78174,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,19046.3,0.45339,0.28116,0.80886,0.99539,0.99665,0.99438,0.89618,0.46757,9.47949,0.78131,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,19332.8,0.45112,0.2801,0.80866,0.99544,0.99668,0.99438,0.8973,0.46516,9.17242,0.78087,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,19619.9,0.44688,0.27756,0.80781,0.99551,0.99669,0.99439,0.89785,0.46317,8.91581,0.78051,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,19906.9,0.44335,0.27735,0.80704,0.99553,0.99674,0.9944,0.89847,0.46097,8.60198,0.78008,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
